,id,year,first,second,third,first_origin,second_origin,third_origin,winning_team,age,first_chrono,winner_timedelta,first_seconds,second_seconds,third_seconds,average_speed,num_runners,total_length,num_stages,debut_date,end_date,first_mountain,first_mountain_origin,second_mountain,second_mountain_origin,third_mountain,third_mountain_origin,first_mountain_points,second_mountain_points,third_mountain_points,first_sprint,first_sprint_origin,second_sprint,second_sprint_origin,third_sprint,third_sprint_origin,first_sprint_points,second_sprint_points,third_sprint_points
72,73,1990,Gianni Bugno,Charly Mottet,Marco Giovannetti,Italie,France,Italie,Once,26,91h 51min 08s,3 days 19:51:08,330668.0,,,37.609,198,3464,20,1990-05-18,1990-06-06,Claudio Chiappucci,Italie,Maurizio Vandelli,Italie,Gianni Bugno,Italie,74.0,56.0,48.0,Gianni Bugno,Italie,Phil Anderson,Australie,Mario Cipollini,Italie,195.0,176.0,176.0
73,74,1991,Franco Chioccioli,Claudio Chiappucci,Massimiliano Lelli,Italie,Italie,Italie,Carrera,31,99h 35min 43s,4 days 03:35:43,358543.0,,,36.788000000000004,180,3712,21,1991-05-26,1991-06-16,Iñaki Gastón,Espagne,Claudio Chiappucci,Italie,Franco Chioccioli,Italie,75.0,69.0,57.0,Claudio Chiappucci,Italie,Franco Chioccioli,Italie,Mario Cipollini,Italie,283.0,239.0,191.0
74,75,1992,Miguel Induráin,Claudio Chiappucci,Franco Chioccioli,Espagne,Italie,Italie,GB-MG,27,103h 36min 08s,4 days 07:36:08,372968.0,,,37.092,180,3835,21,1992-05-24,1992-06-14,Claudio Chiappucci,Italie,Roberto Conti,Italie,Miguel Induráin,Espagne,76.0,45.0,35.0,Mario Cipollini,Italie,Miguel Induráin,Espagne,Maximilian Sciandri,Royaume-Uni,236.0,208.0,177.0
75,76,1993,Miguel Induráin,Piotr Ugrumov,Claudio Chiappucci,Espagne,Lettonie,Italie,Lampre,28,98h 09min 44s,4 days 02:09:44,353384.0,,,37.711999999999996,180,3703,21,1993-05-23,1993-06-13,Claudio Chiappucci,Italie,Mariano Piccoli,Italie,Gianluca Bortolami,Italie,42.0,40.0,33.0,Adriano Baffi,Italie,Maurizio Fondriest,Italie,Miguel Induráin,Espagne,228.0,187.0,167.0
76,77,1994,Evgueni Berzin,Marco Pantani,Miguel Induráin,Russie,Italie,Espagne,Carrera,24,100h 41min 21s,4 days 04:41:21,362481.0,,,36.954,153,3738,22,1994-05-22,1994-06-12,Pascal Richard,Suisse,Michele Coppolillo,Italie,Marco Pantani,Italie,78.0,58.0,44.0,Djamolidine Abdoujaparov,Ouzbékistan,Evgueni Berzin,Lettonie,Gianni Bugno,Italie,202.0,182.0,148.0
77,78,1995,Tony Rominger,Evgueni Berzin,Piotr Ugrumov,Suisse,Russie,Lettonie,Gewiss,34,98h 48min 32s,4 days 02:48:32,355712.0,,,38.26,198,3737,22,1995-05-13,1995-06-04,Mariano Piccoli,Italie,Nélson Rodríguez,Colombie,Giuseppe Guerini,Italie,75.0,45.0,43.0,Tony Rominger,Suisse,Rolf Sørensen,Danemark,Evgueni Berzin,Lettonie,205.0,153.0,148.0
78,79,1996,Pavel Tonkov,Enrico Zaina,Abraham Olano,Russie,Italie,Espagne,Carrera Jeans,27,105h 20min 23s,4 days 09:20:23,379223.0,,,37.875,162,3990,22,1996-05-18,1996-06-09,Mariano Piccoli,Italie,Pavel Tonkov,Russie,Ivan Gotti,Italie,69.0,37.0,36.0,Fabrizio Guidi,Italie,Giovanni Lombardi,Italie,Enrico Zaina,Italie,235.0,130.0,120.0
79,80,1997,Ivan Gotti,Pavel Tonkov,Giuseppe Guerini,Italie,Russie,Italie,Kelme,28,102h 53min 58s,4 days 06:53:58,370438.0,,,38.074,180,3912,22,1997-05-17,1997-06-08,José Jaime González,Colombie,Mariano Piccoli,Italie,Roberto Conti,Italie,99.0,35.0,28.0,Mario Cipollini,Italie,Dimitri Konyshev,Russie,Glenn Magnusson,Suède,202.0,146.0,145.0
80,81,1998,Marco Pantani,Pavel Tonkov,Giuseppe Guerini,Italie,Russie,Italie,Mapei-Bricobi,28,98h 48min 32s,4 days 02:48:32,355712.0,,,38.57,162,3811,23,1998-05-16,1998-06-07,Marco Pantani,Italie,José Jaime González,Colombie,Pavel Tonkov,Russie,89.0,62.0,49.0,Mariano Piccoli,Italie,Marco Pantani,Italie,Gian Matteo Fagnini,Italie,194.0,158.0,156.0
81,82,1999,Ivan Gotti,Paolo Savoldelli,Gilberto Simoni,Italie,Italie,Italie,Vitalicio Seguros,30,99h 55min 56s,4 days 03:55:56,359756.0,,,37.595,160,3757,22,1999-05-15,1999-06-06,José Jaime González,Colombie,Mariano Piccoli,Italie,Paolo Bettini,Italie,61.0,45.0,44.0,Laurent Jalabert,France,Fabrizio Guidi,Italie,Massimo Strazzer,Italie,175.0,170.0,126.0
82,83,2000,Stefano Garzelli,Francesco Casagrande,Gilberto Simoni,Italie,Italie,Italie,Mapei,26,98h 30min 14s,4 days 02:30:14,354614.0,,,37.548,180,3712,22,2000-05-13,2000-06-04,Francesco Casagrande,Italie,José Jaime González,Colombie,Stefano Garzelli,Italie,71.0,71.0,47.0,Dimitri Konyshev,Russie,Fabrizio Guidi,Italie,Ján Svorada,République Tchèque,159.0,119.0,116.0
83,84,2001,Gilberto Simoni,Abraham Olano,Unai Osa,Italie,Espagne,Espagne,Alessio,29,89h 02min 58s,3 days 17:02:58,320578.0,,,37.775,198,3364,22,2001-05-19,2001-06-10,Freddy González,Colombie,Gilberto Simoni,Italie,Fortunato Baliani,Italie,73.0,42.0,33.0,Massimo Strazzer,Italie,Danilo Hondo,Allemagne,Mario Cipollini,Italie,177.0,158.0,136.0
84,85,2002,Paolo Savoldelli,Tyler Hamilton,Pietro Caucchioli,Italie,Etats-Unis,Italie,Alessio,29,89h 22min 42s,3 days 17:22:42,321762.0,,,37.567,198,3358,21,2002-05-11,2002-06-02,Julio Alberto Pérez Cuapio,Italie,José Joaquim Castelblanco,Colombie,Pavel Tonkov,Russie,69.0,33.0,25.0,Mario Cipollini,Italie,Massimo Strazzer,Italie,Aitor González,Espagne,184.0,166.0,106.0
85,86,2003,Gilberto Simoni,Stefano Garzelli,Yaroslav Popovych,Italie,Italie,Ukraine,Lampre,31,89h 32min 09s,3 days 17:32:09,322329.0,,,38.917,171,3359,21,2003-05-10,2003-06-01,Freddy González,Colombie,Gilberto Simoni,Italie,Constantino Zaballa,Italie,100.0,78.0,65.0,Gilberto Simoni,Italie,Stefano Garzelli,Italie,Ján Svorada,République Tchèque,154.0,154.0,137.0
86,87,2004,Damiano Cunego,Serhiy Honchar,Gilberto Simoni,Italie,Ukraine,Italie,Saeco,22,88h 40min 43s,3 days 16:40:43,319243.0,,,38.61,169,3435,21,2004-05-08,2004-05-30,Fabian Wegmann,Allemagne,Damiano Cunego,Italie,Gilberto Simoni,Italie,56.0,54.0,36.0,Alessandro Petacchi,Italie,Damiano Cunego,Italie,Olaf Pollack,Allemagne,250.0,153.0,148.0
87,88,2005,Paolo Savoldelli,Gilberto Simoni,José Rujano,Italie,Italie,Colombie,Liquigas,32,91h 25min 51s,3 days 19:25:51,329151.0,,,37.375,197,3498,21,2005-05-07,2005-05-29,José Rujano,Colombie,Iván Parra,Colombie,Gilberto Simoni,Italie,143.0,57.0,45.0,Paolo Bettini,Italie,Alessandro Petacchi,Italie,Danilo Di Luca,Italie,162.0,154.0,136.0
88,89,2006,Ivan Basso,José Enrique Gutiérrez,Gilberto Simoni,Italie,Espagne,Italie,Phonak,28,91h 33min 36s,3 days 19:33:36,329616.0,,,38.294000000000004,198,3526,21,2006-05-06,2006-05-28,Juan Manuel Gárate,Espagne,Ivan Basso,Italie,Fortunato Baliani,Italie,64.0,56.0,52.0,Paolo Bettini,Italie,Ivan Basso,Italie,José Enrique Gutiérrez,Espagne,169.0,158.0,132.0
89,90,2007,Danilo Di Luca,Andy Schleck,Eddy Mazzoleni,Italie,Luxembourg,Italie,Saunier Duval-Prodir,31,92h 59min 39s,3 days 20:59:39,334779.0,,,37.515,198,3442,21,2007-05-12,2007-06-03,Leonardo Piepoli,Italie,Fortunato Baliani,Italie,Danilo Di Luca,Italie,79.0,46.0,45.0,Alessandro Petacchi,Italie,Danilo Di Luca,Italie,Paolo Bettini,Italie,185.0,130.0,120.0
