,id,year,first,second,third,first_origin,second_origin,third_origin,winning_team,age,first_chrono,winner_timedelta,first_seconds,second_seconds,third_seconds,average_speed,num_runners,total_length,num_stages,debut_date,end_date,first_mountain,first_mountain_origin,second_mountain,second_mountain_origin,third_mountain,third_mountain_origin,first_mountain_points,second_mountain_points,third_mountain_points,first_sprint,first_sprint_origin,second_sprint,second_sprint_origin,third_sprint,third_sprint_origin,first_sprint_points,second_sprint_points,third_sprint_points
22,23,1935,Vasco Bergamaschi,Giuseppe Martano,Giuseppe Olmo,Italie,Italie,Italie,Frejus,25,113h 22min 46s,4 days 17:22:46,408166.0,,,31.363000000000003,102,3577,18,1935-05-18,1935-06-09,Gino Bartali,Italie,Remo Bertoni,Italie,Mario Cipriani,Italie,,,,,,,,,,,,
23,24,1936,Gino Bartali,Giuseppe Olmo,Severino Canavesi,Italie,Italie,Italie,Legnano,26,120h 12min 30s,5 days 00:12:30,432750.0,,,31.279,89,3766,19,1936-05-16,1936-06-07,Gino Bartali,Italie,Severino Canavesi,Italie,Edoardo Molinar,Italie,,,,,,,,,,,,
24,25,1937,Gino Bartali,Giovanni Valetti,Enrico Mollo,Italie,Italie,Italie,Frejus,27,112h 25min 40s,4 days 16:25:40,404740.0,,,31.365,93,3840,19,1937-05-08,1937-05-30,Gino Bartali,Italie,Enrico Mollo,Italie,Luigi Barral,Italie,,,,,,,,,,,,
25,26,1938,Giovanni Valetti,Ezio Cecchi,Severino Canavesi,Italie,Italie,Italie,Gloria-Ambrosiana,24,112h 49min 28s,4 days 16:49:28,406168.0,,,33.272,94,3645,18,1938-05-07,1938-06-02,Giovanni Valetti,Italie,Giordano Cottur,Italie,Ezio Cecchi,Italie,,,,,,,,,,,,
26,27,1939,Giovanni Valetti,Gino Bartali,Mario Vicini,Italie,Italie,Italie,Frejus,25,88h 02min 00s,3 days 16:02:00,316920.0,,,34.15,89,3011,17,1939-04-28,1939-05-18,Gino Bartali,Italie,Giovanni Valetti,Italie,Michele Benente,Italie,,,,,,,,,,,,
27,28,1940,Fausto Coppi,Enrico Mollo,Giordano Cottur,Italie,Italie,Italie,Gloria,24,107h 31min 10s,4 days 11:31:10,387070.0,,,33.24,91,3574,20,1940-05-17,1940-06-09,Gino Bartali,Italie,Fausto Coppi,Italie,Enrico Molle,Italie,,,,,,,,,,,,
28,29,1946,Gino Bartali,Fausto Coppi,Vito Ortelli,Italie,Italie,Italie,Benotto,31,95h 32min 20s,3 days 23:32:20,343940.0,,,33.948,79,3039,17,1946-06-15,1946-07-07,Gino Bartali,Italie,Fausto Coppi,Italie,Vito Ortelli,Italie,,,,,,,,,,,,
29,30,1947,Fausto Coppi,Gino Bartali,Giulio Bresci,Italie,Italie,Italie,Welter,26,115h 55min 07s,4 days 19:55:07,417307.0,,,33.153,84,3843,19,1947-05-24,1947-06-15,Gino Bartali,Italie,Fausto Coppi,Italie,Giulio Besci,Italie,,,,,,,,,,,,
30,31,1948,Fiorenzo Magni,Ezio Cecchi,Giordano Cottur,Italie,Italie,Italie,Wilier-Triestina,17,124h 51min 52s,5 days 04:51:52,449512.0,,,33.116,77,4164,19,1948-05-15,1948-06-06,Fausto Coppi,Italie,Ezio Cecchi,Italie,Gino Bartali,Italie,,,,,,,,,,,,
31,32,1949,Fausto Coppi,Gino Bartali,Giordano Cottur,Italie,Italie,Italie,Wilier-Triestina,29,125h 25min 50s,5 days 05:25:50,451550.0,,,32.566,102,4088,19,1949-05-21,1949-06-12,Fausto Coppi,Italie,Gino Bartali,Italie,Alfredo Pasotti,Italie,,,,,,,,,,,,
32,33,1950,Hugo Koblet,Gino Bartali,Alfredo Martini,Suisse,Italie,Italie,Frejus,25,117h 28min 03s,4 days 21:28:03,422883.0,,,33.816,105,3981,18,1950-05-24,1950-06-13,Hugo Koblet,Suisse,Gino Bartali,Italie,Vittorio Rossello,Italie,,,,,,,,,,,,
33,34,1951,Fiorenzo Magni,Rik Van Steenbergen,Ferdi Kübler,Italie,Belgique,Suisse,Taurea,20,121h 11min 37s,5 days 01:11:37,436297.0,,,34.217,98,4153,20,1951-05-19,1951-06-10,Louison Bobet,France,Fausto Coppi,Italie,Alfredo Pasotti,Italie,,,,,,,,,,,,
34,35,1952,Fausto Coppi,Fiorenzo Magni,Ferdi Kübler,Italie,Italie,Suisse,Bianchi,32,114h 36min 43s,4 days 18:36:43,412603.0,,,34.56,112,3964,20,1952-05-17,1952-06-08,Raphaël Géminiani,France,Fausto Coppi,Italie,Gino Bartali,Italie,,,,,,,,,,,,
35,36,1953,Fausto Coppi,Hugo Koblet,Pasquale Fornara,Italie,Suisse,Italie,Ganna-Ursus,33,118h 37min 26s,4 days 22:37:26,427046.0,,,34.02,112,4035,21,1953-05-12,1953-06-02,Pasquale Fornara,Italie,Fausto Coppi,Italie,Gino Bartali,Italie,,,,,,,,,,,,
36,37,1954,Carlo Clerici,Hugo Koblet,Nino Assirelli,Suisse,Suisse,Italie,Girardengo-Eldorado,24,129h 13min 07s,5 days 09:13:07,465187.0,,,33.563,105,4337,22,1954-05-21,1954-06-13,Fausto Coppi,Italie,Giancarlo Astrua,Italie,,,,,,,,,,,,,,
37,38,1955,Fiorenzo Magni,Fausto Coppi,Gastone Nencini,Italie,Italie,Italie,Atala,24,108h 56min 13s,4 days 12:56:13,392173.0,,,35.55,98,3873,21,1955-05-14,1955-06-05,Gastone Nencini,Italie,José Serra Gil,Espagne,Bruno Monti,Italie,7.0,6.0,4.0,,,,,,,,,
38,39,1956,Charly Gaul,Fiorenzo Magni,Agostino Coletto,Luxembourg,Italie,Italie,Atala-Pirelli,24,101h 39min 49s,4 days 05:39:49,365989.0,,,34.677,105,3523,21,1956-05-19,1956-06-10,Federico Bahamontes,Espagne,Bruno Monti,Italie,Giuseppe Buratti,Italie,30.0,13.0,11.0,,,,,,,,,
39,40,1957,Gastone Nencini,Louison Bobet,Ercole Baldini,Italie,France,Italie,Legnano,27,104h 45min 06s,4 days 08:45:06,377106.0,,,37.488,120,3926,21,1957-05-18,1957-06-09,Raphaël Géminiani,France,Charly Gaul,Luxembourg,Louison Bobet,France,58.0,38.0,36.0,,,,,,,,,
40,41,1958,Ercole Baldini,Jean Brankart,Charly Gaul,Italie,Belgique,Luxembourg,Carpano,25,92h 09min 30s,3 days 20:09:30,331770.0,,,36.274,120,3341,20,1958-05-18,1958-06-08,Jean Brankart,Belgique,Ercole Baldini,Italie,Charly Gaul,Luxembourg,56.0,39.0,38.0,,,,,,,,,
41,42,1959,Charly Gaul,Jacques Anquetil,Diego Ronchini,Luxembourg,France,Italie,Atala,27,101h 50min 26s,4 days 05:50:26,366626.0,,,35.909,130,3657,22,1959-05-16,1959-06-07,Charly Gaul,Luxembourg,Imerio Massignan,Italie,Hans Junkermann,Allemagne,560.0,320.0,300.0,,,,,,,,,
42,43,1960,Jacques Anquetil,Gastone Nencini,Charly Gaul,France,Italie,Luxembourg,Ignis,26,94h 04min 54s,3 days 22:04:54,338694.0,,,37.006,140,3481,21,1960-05-19,1960-06-09,Rik Van Looy,Belgique,Imerio Massignan,Italie,Gastone Nencini,Italie,250.0,210.0,190.0,,,,,,,,,
43,44,1961,Arnaldo Pambianco,Jacques Anquetil,Antonio Suárez,Italie,France,Espagne,Faema,25,111h 25min 28s,4 days 15:25:28,401128.0,,,35.964,170,4004,21,1961-05-20,1961-06-11,Vito Taccone,Italie,Gabriel Mas,Espagne,Imerio Massignan,Italie,270.0,130.0,120.0,,,,,,,,,
44,45,1962,Franco Balmamion,Imerio Massignan,Nino Defilippis,Italie,Italie,Italie,Flandria-Faema-Clément,22,123h 07min 03s,5 days 03:07:03,443223.0,,,33.995,130,4180,21,1962-05-19,1962-06-09,Angelino Soler,Espagne,Joseph Carrara,France,Vincenzo Meco,Italie,260.0,100.0,60.0,,,,,,,,,
45,46,1963,Franco Balmamion,Vittorio Adorni,Giorgio Zancanaro,Italie,Italie,Italie,Carpano,23,116h 50min 16s,4 days 20:50:16,420616.0,,,34.774,120,4058,21,1963-05-19,1963-06-09,Vito Taccone,Italie,Giorgio Zancanaro,Italie,Franco Bitossi,Italie,520.0,120.0,100.0,,,,,,,,,
46,47,1964,Jacques Anquetil,Italo Zilioli,Guido De Rosso,France,Italie,Italie,Saint-Raphaël,30,115h 10min 27s,4 days 19:10:27,414627.0,,,35.766,130,4111,22,1964-05-16,1964-06-07,Franco Bitossi,Italie,Antonio Gómez Del Moral,Espagne,Franco Balmanion,Italie,200.0,140.0,110.0,,,,,,,,,
47,48,1965,Vittorio Adorni,Italo Zilioli,Felice Gimondi,Italie,Italie,Italie,Salvarani,28,121h 08min 16s,5 days 01:08:16,436096.0,,,34.27,100,4177,22,1965-05-15,1965-06-06,Franco Bitossi,Italie,Vito Taccone,Italie,Vittorio Adorni,Italie,250.0,160.0,140.0,,,,,,,,,
48,49,1966,Gianni Motta,Italo Zilioli,Jacques Anquetil,Italie,Italie,France,Molteni,23,111h 10min 48s,4 days 15:10:48,400248.0,,,35.744,100,3977,22,1966-05-18,1966-06-09,Franco Bitossi,Italie,Julio Jiménez,Espagne,Gianni Motta,Italie,490.0,320.0,160.0,Gianni Motta,Italie,Rudi Altig,Allemagne,Vito Taccone,Italie,228.0,162.0,152.0
49,50,1967,Felice Gimondi,Franco Balmamion,Jacques Anquetil,Italie,Italie,France,KAS,24,111h 05min 34s,4 days 15:05:34,399934.0,,,35.339,100,3781,22,1967-05-20,1967-06-11,Aurelio González,Espagne,Vittorio Adorni,Italie,Wladimiro Panizza,Italie,630.0,150.0,140.0,Dino Zandegù,Italie,Eddy Merckx,Belgique,Willy Planckaert,Belgique,200.0,178.0,176.0
50,51,1968,Eddy Merckx,Vittorio Adorni,Felice Gimondi,Belgique,Italie,Italie,Faema,23,108h 42min 27s,4 days 12:42:27,391347.0,,,36.035,130,3920,23,1968-05-20,1968-06-12,Eddy Merckx,Belgique,Julio Jiménez,Espagne,Giancarlo Polidori,Italie,340.0,180.0,140.0,Eddy Merckx,Belgique,Franco Bitossi,Italie,Michele Dancelli,Italie,198.0,138.0,134.0
51,52,1969,Felice Gimondi,Claudio Michelotto,Italo Zilioli,Italie,Italie,Italie,Molteni,26,106h 47min 03s,4 days 10:47:03,384423.0,,,36.066,130,4037,23,1969-05-16,1969-06-08,Claudio Michelotto,Italie,Italo Zilioli,Italie,Felice Gimondi,Italie,330.0,250.0,230.0,Franco Bitossi,Italie,Marino Basso,Italie,Michele Dancelli,Italie,182.0,166.0,129.0
52,53,1970,Eddy Merckx,Felice Gimondi,Martin Van Den Bossche,Belgique,Italie,Belgique,Faemino,25,90h 08min 47s,3 days 18:08:47,324527.0,,,36.518,130,3293,20,1970-05-18,1970-06-07,Martin Van Den Bossche,Belgique,Italo Zilioli,Italie,Luciano Armani,Italie,460.0,420.0,300.0,Franco Bitossi,Italie,Michele Dancelli,Italie,Eddy Merckx,Belgique,252.0,241.0,193.0
53,54,1971,Gösta Pettersson,Herman Van Springel,Ugo Colombo,Suède,Belgique,Italie,Molteni,30,97h 24min 03s,4 days 01:24:03,350643.0,,,36.597,100,3621,21,1971-05-20,1971-06-10,José Manuel Fuente,Espagne,Pierfranco Vianelli,Italie,Franco Mori,Italie,360.0,270.0,190.0,Marino Basso,Italie,Patrick Sercu,Belgique,Felice Gimondi,Italie,181.0,148.0,139.0
54,55,1972,Eddy Merckx,José Manuel Fuente,Francisco Galdós,Belgique,Espagne,Espagne,Molteni,27,103h 04min 04s,4 days 07:04:04,371044.0,,,36.12,100,3790,20,1972-05-21,1972-06-11,José Manuel Fuente,Espagne,Eddy Merckx,Belgique,Francisco Galdós,Espagne,490.0,350.0,270.0,Roger De Vlaeminck,Belgique,Eddy Merckx,Belgique,Miguel Maria Lasa,Espagne,264.0,244.0,182.0
55,56,1973,Eddy Merckx,Felice Gimondi,Giovanni Battaglin,Belgique,Italie,Italie,Molteni,28,106h 54min 41s,4 days 10:54:41,384881.0,,,35.506,140,3801,21,1973-05-18,1973-06-09,José Manuel Fuente,Espagne,Eddy Merckx,Belgique,Giovanni Battaglin,Italie,550.0,510.0,180.0,Eddy Merckx,Belgique,Roger De Vlaeminck,Belgique,Felice Gimondi,Italie,237.0,216.0,146.0
56,57,1974,Eddy Merckx,Gianbattista Baronchelli,Felice Gimondi,Belgique,Italie,Italie,KAS,29,113h 08min 13s,4 days 17:08:13,407293.0,,,35.08,140,4001,22,1974-05-16,1974-06-08,José Manuel Fuente,Espagne,Eddy Merckx,Belgique,Santiago Lazcano,Espagne,510.0,330.0,230.0,Roger De Vlaeminck,Belgique,Franco Bitossi,Italie,José Manuel Fuente,Espagne,265.0,209.0,171.0
57,58,1975,Fausto Bertoglio,Francisco Galdós,Felice Gimondi,Italie,Espagne,Italie,Brooklyn,26,111h 31min 24s,4 days 15:31:24,401484.0,,,35.535,90,3933,21,1975-05-17,1975-06-07,Andrés Oliva,Espagne,Francisco Galdós,Espagne,Fausto Bertoglio,Italie,300.0,300.0,240.0,Roger De Vlaeminck,Belgique,Fausto Bertoglio,Italie,Felice Gimondi,Italie,346.0,159.0,154.0
58,59,1976,Felice Gimondi,Johan De Muynck,Fausto Bertoglio,Italie,Belgique,Italie,Brooklyn,33,119h 58min 15s,4 days 23:58:15,431895.0,,,34.691,120,4162,22,1976-05-21,1976-06-12,Andrés Oliva,Espagne,Andrés Gandarias,Espagne,Francesco Moser,Italie,535.0,390.0,279.0,Francesco Moser,Italie,Eddy Merckx,Belgique,Felice Gimondi,Italie,272.0,149.0,143.0
