id;year;winner;second;third;winner_origin;winning_team;age;winner_chrono;winner_timedelta;winner_seconds;second_seconds;third_seconds;average_speed;num_runners;total_length;num_stages;debut_date;end_date;first_mountain;second_mountain;third_mountain;first_mountain_points;second_mountain_points;third_mountain_points;first_sprint;second_sprint;third_sprint;first_sprint_points;second_sprint_points;third_sprint_points
91;2005;Lance Armstrong;Ivan Basso;Jan Ullrich;USA;Discovery;33;86hr 15min 2sec  ;3 days 14:15:02.000000000;310502.0;280;381;41,654;189;3607;21;02/07/2005;24/07/2005;Michael Rasmussen;Oscar Pereiro;Lance Armstrong;185;155;99;Thor Hushovd;Stuart O'Grady;Robbie McEwen;194;182;178
92;2006;Floyd Landis;Andreas Klöden;Carlos Sastre;Spain;Caisse d'Epargne;30;89hr 39min 30sec;3 days 17:39:30.000000000;322770.0;53;85;40,78;176;3657;20;01/07/2006;23/07/2006;Michael Rasmussen;Floyd Landis;David De La Fuente;166;131;113;Robbie McEwen;Erik Zabel;Thor Hushovd;288;199;195
93;2007;Alberto Contador;Cadel Evans;Levi Leipheimer;Spain;Discovery;24;91hr 00min 26sec;3 days 19:00:26.000000000;327626.0;23;31;39,23;189;3570;21;07/07/2007;29/07/2007;Mauricio Soler;Alberto Contador;Yaroslav Popovych;206;128;105;Tom Boonen;Robert Hunter;Erik Zabel;256;234;232
94;2008;Carlos Sastre;Cadel Evans;Bernhard Kohl;Spain;CSC-Saxo Bank;33;87hr 52min 52sec;3 days 15:52:52.000000000;316372.0;58;73;40,492;180;3558;21;05/07/2008;27/07/2008;Bernard Kohl;Carlos Sastre;Fränk Schleck;120;80;80;Oscar Freire;Thor Hushovd;Erik Zabel;270;220;217
95;2009;Alberto Contador;Andy Schleck;Lance Armstrong;Spain;Astana;26;85hr 48min 35sec;3 days 13:48:35.000000000;308915.0;251;361;40,315;180;3459;21;04/07/2009;26/07/2009;Franco Pellizotti;Egoi Martinez;Alberto Contador;210;135;126;Thor Hushovd;Mark Cavendish;Gerald Ciolek;280;270;172
96;2010;Alberto Contador;Denis Menchov;Samuel Sánchez;Luxembourg;Saxo Bank;91;91hr 58min 48sec;3 days 19:58:48.000000000;331128.0;39;121;39,896;197;3642;21;03/07/2010;25/07/2010;Anthony Charteau;Christophe Moreau;Andy Schleck;143;128;116;Alessandro Petacchi;Mark Cavendish;Thor Hushovd;243;232;222
97;2011;Cadel Evans;Andy Schleck;Frank Schleck;Australia;BMC;34;86hr 12min 22sec;3 days 14:12:22.000000000;310342.0;94;150;39,788;198;3430;21;02/07/2011;24/07/2011;Samuel Sánchez;Andy Schleck;Jelle Vanendert;108;98;74;Mark Cavendish;José Joaquin Rojas;Philippe Gilbert;334;272;236
98;2012;Bradley Wiggins;Christopher Froome;Vincenzo Nibali;Great Britain;Sky;32;87hr 34min 47sec;3 days 15:34:47.000000000;315287.0;201;379;39,9;198;3494;22;30/06/2012;22/07/2012;Thomas Voeckler;Fredrik Kessiakoff;Chris Anker Sørensen;135;123;77;Peter Sagan;André Greipel;Matthew Goss;421;280;268
99;2013;Christopher Froome;Nairo Quintana;Joaquin Rodriguez;Great Britain;Sky;28;83hr 56min 40sec;3 days 11:56:40.000000000;302200.0;260;304;40,542;198;3404;21;29/06/2013;21/07/2013;Nairo Quintana;Christopher Froome;Pierre Rolland;147;136;117;Peter Sagan;Mark Cavendish;André Greipel;409;312;267
100;2014;Vincenzo Nibali;Jean-Christophe Peraud;Thibaut Pinot;Great Britain;Sky;29;89hr 59min 6sec;3 days 17:59:06.000000000;323946.0;457;495;40,679;198;3660;21;05/07/2014;27/07/2014;Rafa? Majka;Vincenzo Nibali;Joaquim Rodriguez;181;168;112;Peter Sagan;Alexander Kristoff;Bryan Coquard;431;282;271
101;2015;Christopher Froome;Nairo Quintana;Alejandro Valverde;Great Britain;Sky;30;84hr 46min 14sec;3 days 12:46:14.000000000;305174.0;72;325;39,567;198;3360;21;04/07/2015;26/07/2015;Christopher Froome;Nairo Quintana;Romain Bardet;119;108;90;Peter Sagan;André Greipel;John Degenkolb;432;366;298
102;2016;Christopher Froome;Romain Bardet;Nairo Quintana;Great Britain;Sky;31;89hr 4min 48sec;3 days 17:04:48.000000000;320688.0;245;261;39,616;198;3529;21;02/07/2016;24/07/2016;Rafa? Majka;Thomas De Gendt;Jarlinson Pantano;209;130;121;Peter Sagan;Marcel Kittel;Michael Matthews;470;228;199
103;2017;Christopher Froome;Rigoberto Uran;Romain Bardet;Great Britain;Sky;32;86hr 20min 55sec;3 days 14:20:55.000000000;310855.0;54;140;40,996;198;3540;21;01/07/2017;23/07/2017;Warren Barguil;Primož Rogli?;Thomas De Gendt;169;80;65;Michael Matthews;André Greipel;Edvald Boasson Hagen;370;234;220
104;2018;Geraint Thomas;Tom Dumoulin;Chris Froome;Great Britain;Sky;32;83hr 17min 13sec;3 days 11:17:13.000000000;299833.0;111;144;40,234;176;3351;21;07/07/2018;29/07/2018;Julian Alaphilippe;Warren Barguil;Rafa? Majka;170;91;76;Peter Sagan;Alexander Kristoff;Arnaud Démare;477;246;203
105;2019;Egan Bernal;Geraint Thomas;Steven Kruijswijk;Columbia;INEOS;22;82hr 57min 0sec;3 days 10:57:00.000000000;298620.0;71;91;40,576;176;3366;22;06/07/2019;28/07/2019;Romain Bardet;Egan Bernal;Tim Wellens;86;78;75;Peter Sagan;Caleb Ewan;Elia Viviani;316;248;224
106;2020;Tadej Poga?ar;Primoz Roglic;Richie Porte;Slovenia;UAE-Team Emirates;20;87hr 20min 5sec;3 days 15:20:05.000000000;314405.0;59;210;40,22;176;3484;21;29/08/2020;20/09/2020;Tadej Poga?ar;Richard Carapaz;Primož Rogli?;82;74;67;Sam Bennett;Peter Sagan;Matteo Trentin;380;284;260
