id;year;winner;second;third;winner_origin;winning_team;age;winner_chrono;winner_timedelta;winner_seconds;second_seconds;third_seconds;average_speed;num_runners;total_length;num_stages;debut_date;end_date;first_mountain;second_mountain;third_mountain;first_mountain_points;second_mountain_points;third_mountain_points;first_sprint;second_sprint;third_sprint;first_sprint_points;second_sprint_points;third_sprint_points
54;1968;Jan Janssen;HermanVan Springel;Ferdinand Bracke;Netherlands;Holland;28;133hr 49min 42sec;5 days 13:49:42.000000000;481782.0;38;183;33,556;110;4492;22;27/06/1968;21/07/1968;Aurelio Gonzalez;Franco Bitossi;Julio Jiménez;96;84;72;Franco Bitossi;Walter Godefroot;Jan Jenssen;241;219;200
55;1969;Eddy Merckx;Roger Pingeon;Raymond Poulidor;Belgium;Faema;24;116hr 16min 2sec;4 days 20:16:02.000000000;418562.0;1074;1333;35,296;130;4117;23;28/06/1969;20/07/1969;Eddy Merckx;Roger Pingeon;Joaquim Galera;155;94;80;Eddy Merckx;Jan Janssen;Marinus Wagtmans;244;150;136
56;1970;Eddy Merckx;Joop Zoetemelk;Gösta Pettersson;Belgium;Faemino;25;119hr 31min 49sec;4 days 23:31:49.000000000;430309.0;761;954;35,589;150;4254;24;27/06/1970;19/07/1970;Eddy Merckx;Andréas Gandarias;Martin Van Den;128;94;85;Walter Godefroot;Eddy Merckx;Marino Basso;212;207;161
57;1971;Eddy Merckx;Joop Zoetemelk;Lucien Van Impe;Belgium;Molteni;26;96hr 45min 14sec;4 days 00:45:14.000000000;348314.0;591;666;38,084;130;3608;21;26/06/1971;18/07/1971;Lucien Van Impe;Joop Zoetemelk;Eddy Merckx;228;179;136;Eddy Merckx;Cyrille Guimard;Gerben Karstens;202;186;107
58;1972;Eddy Merckx;Felice Gimondi;Raymond Poulidor;Belgium;Molteni;27;108hr 17min 18sec;4 days 12:17:18.000000000;389838.0;641;694;35,514;132;3846;21;01/07/1972;23/07/1972;Lucien Van Impe;Eddy Merckx;Joaquim Agostinho;229;211;163;Eddy Merckx;Rik Van Linden;Joop Zoetemelk;196;135;132
59;1973;Luis Ocaña;Bernard Thévenet;José-Manuel Fuente;Spain;Bic;28;122hr 25min 34sec;5 days 02:25:34.000000000;440734.0;951;1035;33,407;132;4090;21;30/06/1973;22/07/1973;Pedro Torres;José Manuel Fuente;Luis Ocaña;225;216;192;Herman Van Springel;Joop Zoetemelk;Luis Ocaña;187;168;132
60;1974;Eddy Merckx;Raymond Poulidor;Vicente López-Carril;Belgium;Molteni;29;116hr 16min 58sec;4 days 20:16:58.000000000;418618.0;484;489;35,241;130;4098;27;27/06/1974;21/07/1974;Domingo Perurena;Eddy Merckx;José Luis Abilleira;161;118;109;Patrick Sercu;Eddy Merckx;Barry Hoban;283;270;170
61;1975;Bernard Thévenet;Eddy Merckx;Lucien Van Impe;France;Peugeot;29;114hr 35min 31sec;4 days 18:35:31.000000000;412531.0;167;301;34,906;140;4000;23;26/06/1975;20/07/1975;Lucien Van Impe;Eddy Merckx;Joop Zoetemelk;285;206;171;Rik Van Linden;Eddy Merckx;Francesco Moser;342;240;199
62;1976;Lucien Van Impe;Joop Zoetemelk;Raymond Poulidor;Belgium;Gitane;29;116hr 22min 23sec;4 days 20:22:23.000000000;418943.0;254;728;34,518;130;4017;23;04/06/1976;18/07/1976;Giancarlo Bellini;Lucien Van Impe;Joop Zoetemelk;170;169;119;Freddy Maertens;Pierino Gavazzi;Jacques Esclassan;293;140;128
63;1977;Bernard Thévenet;Hennie Kuiper;Lucien Van Impe;France;Peugeot;29;115hr 38min 30sec;4 days 19:38:30.000000000;416310.0;48;212;35,419;100;4096;23;30/06/1977;24/07/1977;Lucien Van Impe;Hennie Kuiper;Pedro Torres;244;174;144;Jacques Esclassan;Giacinto Santambrogio;Dietrich Thurau;236;140;137
64;1978;Bernard Hinault;Joop Zoetemelk;Joaquim Agostinho;France;Renault;23;112hr 3min 2sec;4 days 16:03:02.000000000;403382.0;236;414;36,084;110;3908;23;29/06/1978;23/07/1978;Mariano Martinez;Bernard Hinault;Joop Zoetemelk;187;176;155;Freddy Maertens;Jacques Esclassan;Bernard Hinault;242;189;123
65;1979;Bernard Hinault;Joop Zoetemelk;Joaquim Agostinho;France;Renault;24;103hr 6min 50sec;4 days 07:06:50.000000000;371210.0;787;1613;36,513;150;3765;25;27/06/1979;22/07/1979;Giovanni Battaglin;Bernard Hinault;Mariano Martinez;239;196;158;Bernard Hinault;Dietrich Thurau;Joop Zoetemelk;253;157;109
66;1980;Joop Zoetemelk;Hennie Kuiper;Raymond Martin;Netherlands;TI-Raleigh;33;109hr 19min 14sec;4 days 13:19:14.000000000;393554.0;415;476;35,317;130;3842;25;26/06/1980;20/07/1980;Raymond Martin;Ludo Loos;Ludo Peeters;223;162;147;Rudy Pevenage;Sean Kelly;Ludo Peeters;194;153;148
67;1981;Bernard Hinault;Lucien van Impe;Robert Alban;France;Renault;26;96hr 19min 38sec;4 days 00:19:38.000000000;346778.0;874;1024;38,96;150;3758;25;25/06/1981;19/07/1981;Lucien Van Impe;Bernard Hinault;Jean-René Bernaudeau;284;222;168;Freddy Maertens;William Tackaert;Bernard Hinault;428;222;184
68;1982;Bernard Hinault;Joop Zoetemelk;Johan Van der Velde;France;Renault;27;92hr 8min 46sec;3 days 20:08:46.000000000;331726.0;381;539;37,47;170;3507;23;02/07/1982;25/07/1982;Bernard Vallet;Jean-René Bernaudeau;Beat Breu;278;237;205;Sean Kelly;Bernard Hinault;Phil Anderson;429;152;149
69;1983;Laurent Fignon;Angel Arroyo;Peter Winnen;France;Renault;22;105hr 7min 52sec;4 days 09:07:52.000000000;378472.0;244;249;36,23;140;3809;23;01/07/1983;24/07/1983;Lucien Van Impe;José Patrocinio Jiménez;Robert Millar;272;195;157;Sean Kelly;Frits Pirard;Laurent Fignon;360;144;126
70;1984;Laurent Fignon;Bernard Hinault;Greg LeMond;France;Renault;23;112hr 3min 40sec;4 days 16:03:40.000000000;403420.0;632;706;35,882;170;4021;24;29/06/1984;22/07/1984;Robert Millar;Laurent Fignon;Angel Arroyo;284;212;140;Frank Hoste;Sean Kelly;Eric Vanderaerden;322;318;247
71;1985;Bernard Hinault;Greg LeMond;Stephen Roche;France;La Vie Claire;30;113hr 24min 23sec;4 days 17:24:23.000000000;408263.0;102;269;36,376;180;4109;22;28/06/1985;21/07/1985;Luis Herrera;Pedro Delgado;Robert Millar;440;274;270;Sean Kelly;Greg LeMond;Stephen Roche;434;332;279
72;1986;Greg LeMond;Bernard Hinault;Urs Zimmermann;U.S.A.;La Vie Claire;25;110hr 35min 19sec;4 days 14:35:19.000000000;398119.0;190;654;37,02;208;4094;24;04/07/1986;27/07/1986;Bernard Hinault;Luis Herrera;Greg LeMond;351;270;265;Eric Vanderaerden;Jozef Lieckens;Bernard Hinault;277;232;210
73;1987;Stephen Roche;Pedro Delgado;Jean-François Bernard;Ireland;Carrera;27;115hr 27min 42sec;4 days 19:27:42.000000000;415662.0;40;133;36,645;207;4231;26;01/07/1987;26/07/1987;Luis Herrera;Anselmo Fuerte;Raúl Alcalá;452;314;277;Jean-Paul Van Poppel;Stephen Roche;Pedro Delgado;263;247;228
