;year;winner;second;third;winner_origin;winning_team;age;winner_chrono;winner_timedelta
49;1963;Jacques Anquetil;Federico Bahamontes;José Perez-Francés;France;St-RaphaÃ«l;29;113hr 30min 5sec;4 days 17:30:05.000000000
50;1964;Jacques Anquetil;Raymond Poulidor;Federico Bahamontes;France;St-RaphaÃ«l;30;127hr 9min 44sec;5 days 07:09:44.000000000
51;1965;Felice Gimondi;Raymond Poulidor;Gianni Motta;Italy;Salvarini;23;116hr 42min 6sec;4 days 20:42:06.000000000
52;1966;Lucien Aimar;Jan Janssen;Raymond Poulidor;France;Ford;25;117hr 34min 21sec;4 days 21:34:21.000000000
53;1967;Roger Pingeon;Julio Jiménez;Franco Balmamion;France;France;27;136hr 53min 50sec;5 days 16:53:50.000000000
54;1968;Jan Janssen;HermanVan Springel;Ferdinand Bracke;Netherlands;Holland;28;133hr 49min 42sec;5 days 13:49:42.000000000
55;1969;Eddy Merckx;Roger Pingeon;Raymond Poulidor;Belgium;Faema;24;116hr 16min 2sec;4 days 20:16:02.000000000
56;1970;Eddy Merckx;Joop Zoetemelk;Gösta Pettersson;Belgium;Faemino;25;119hr 31min 49sec;4 days 23:31:49.000000000
57;1971;Eddy Merckx;Joop Zoetemelk;Lucien Van Impe;Belgium;Molteni;26;96hr 45min 14sec;4 days 00:45:14.000000000
58;1972;Eddy Merckx;Felice Gimondi;Raymond Poulidor;Belgium;Molteni;27;108hr 17min 18sec;4 days 12:17:18.000000000
59;1973;Luis Ocaña;Bernard Thévenet;José-Manuel Fuente;Spain;Bic;28;122hr 25min 34sec;5 days 02:25:34.000000000
60;1974;Eddy Merckx;Raymond Poulidor;Vicente López-Carril;Belgium;Molteni;29;116hr 16min 58sec;4 days 20:16:58.000000000
61;1975;Bernard Thévenet;Eddy Merckx;Lucien Van Impe;France;Peugeot;29;114hr 35min 31sec;4 days 18:35:31.000000000
62;1976;Lucien van Impe;Joop Zoetemelk;Raymond Poulidor;Belgium;Gitane;29;116hr 22min 23sec;4 days 20:22:23.000000000
63;1977;Bernard Thévenet;Hennie Kuiper;Lucien Van Impe;France;Peugeot;29;115hr 38min 30sec;4 days 19:38:30.000000000
64;1978;Bernard Hinault;Joop Zoetemelk;Joaquim Agostinho;France;Renault;23;112hr 3min 2sec;4 days 16:03:02.000000000
65;1979;Bernard Hinault;Joop Zoetemelk;Joaquim Agostinho;France;Renault;24;103hr 6min 50sec;4 days 07:06:50.000000000
